N,P,K,Temparature,Humidity,Crop,Moisture,Soil Type,Fertilizer Name
10,34,0,28.09,56.62,Ground Nuts,36.14,Loamy,20-20
16,22,3,22.95,55.86,Paddy,31.58,Black,28-28
18,38,1,32.06,75.56,Tobacco,55.73,Sandy,17-17-17
11,16,11,38.4,67.88,Maize,62.06,Clayey,28-28
12,27,13,33.59,66.16,Pulses,69.67,Sandy,20-20
10,11,4,26.47,62.91,Ground Nuts,46.87,Sandy,28-28
13,14,21,31.56,58.25,Oil seeds,29.12,Loamy,14-35-14
8,32,13,29.13,56.72,Ground Nuts,67.72,Clayey,17-17-17
36,0,4,23.35,59.98,Oil seeds,63.83,Black,14-35-14
19,20,0,26.75,58.1,Maize,39.27,Clayey,14-35-14
41,1,0,30.42,48.76,Millets,42.28,Red,17-17-17
14,8,13,24.9,51.02,Ground Nuts,31.9,Loamy,17-17-17
34,0,1,27.31,57.3,Wheat,22.41,Loamy,Urea
8,9,1,31.5,74.7,Ground Nuts,23.25,Clayey,DAP
19,26,0,27.63,69.25,Millets,41.18,Loamy,DAP
38,4,0,22.59,45.7,Maize,33.13,Black,14-35-14
11,40,2,35.97,60.1,Tobacco,26.8,Black,20-20
26,22,2,27.69,55.55,Sugarcane,27.9,Red,20-20
6,14,1,24.27,52.43,Millets,62.34,Loamy,DAP
9,11,3,30.42,50.01,Ground Nuts,26.27,Black,28-28
13,35,0,31.52,44.64,Barley,42.86,Red,28-28
12,13,4,30.64,57.57,Wheat,46.45,Red,20-20
15,16,0,22.17,47.78,Paddy,43.03,Clayey,28-28
5,32,10,36.5,65.85,Maize,42.33,Loamy,10-26-26
8,6,4,35.13,65.69,Maize,37.76,Black,28-28
6,10,14,24.82,53.75,Ground Nuts,47.97,Black,DAP
6,9,0,31.24,55.88,Oil seeds,37.05,Sandy,Urea
5,14,3,29.77,46.18,Cotton,63.79,Loamy,10-26-26
35,0,0,25.86,46.65,Oil seeds,32.67,Clayey,17-17-17
44,0,0,30.15,60.77,Cotton,42.93,Clayey,Urea
10,12,0,29.46,59.4,Ground Nuts,49.1,Clayey,28-28
38,0,0,29.37,64.45,Cotton,64.66,Black,10-26-26
19,18,0,23.63,58.75,Oil seeds,35.6,Red,28-28
10,31,5,32.45,60.24,Millets,55.92,Sandy,28-28
15,39,4,37.34,63.39,Paddy,25.36,Red,14-35-14
3,34,8,30.41,67.24,Cotton,65.58,Loamy,17-17-17
12,37,0,31.9,55.45,Barley,59.87,Sandy,14-35-14
16,16,13,35.85,52.79,Cotton,54.13,Clayey,17-17-17
20,23,0,28.87,49.91,Pulses,35.02,Red,10-26-26
9,18,19,26.33,50.2,Oil seeds,45.34,Clayey,10-26-26
35,0,0,29.67,58.75,Sugarcane,40.69,Sandy,Urea
23,15,0,32.2,50.72,Ground Nuts,39.63,Clayey,28-28
6,41,0,29.24,62.15,Millets,51.65,Black,10-26-26
37,1,0,34.15,71.16,Paddy,41.7,Red,Urea
9,35,0,31.56,55.15,Barley,56.8,Red,DAP
9,36,0,24.76,56.88,Oil seeds,20,Clayey,10-26-26
11,14,0,34.15,63.96,Barley,47.64,Red,14-35-14
9,18,4,30.7,57.71,Wheat,38.36,Sandy,28-28
23,22,2,34.89,53.79,Ground Nuts,37.58,Red,Urea
13,42,1,26.7,63.42,Cotton,24.65,Sandy,17-17-17
37,0,0,23.75,61.43,Ground Nuts,52.94,Black,DAP
21,18,0,25.73,52.9,Cotton,46.14,Red,20-20
13,10,0,25.36,50.91,Wheat,24.39,Loamy,20-20
39,0,0,36.35,61.89,Sugarcane,65.38,Black,DAP
24,21,0,21.91,46.66,Millets,45.27,Black,14-35-14
10,9,0,26.44,65.84,Pulses,50.2,Clayey,28-28
8,12,0,28.93,50.28,Wheat,20.33,Red,Urea
7,34,6,30.06,53.68,Maize,70,Sandy,20-20
16,13,13,35.29,64.13,Pulses,46.59,Clayey,14-35-14
41,0,2,24.61,63.9,Pulses,70,Loamy,DAP
19,22,0,29.38,60.44,Millets,45.57,Clayey,14-35-14
20,19,0,30.2,51.16,Barley,32.5,Red,DAP
11,9,0,32.46,68.2,Sugarcane,64.77,Sandy,14-35-14
34,4,0,24.26,53.19,Oil seeds,67.73,Clayey,DAP
11,35,0,37.9,75.51,Ground Nuts,25.35,Clayey,DAP
34,2,0,31.1,55.48,Cotton,46.43,Sandy,Urea
17,15,0,31.75,62.4,Wheat,34.97,Black,Urea
15,11,11,27.29,57.56,Pulses,53.09,Black,20-20
15,40,0,26.71,55.89,Paddy,69.87,Loamy,14-35-14
21,18,0,29.25,56.07,Oil seeds,33.6,Black,DAP
17,20,0,29.73,58.67,Barley,29.64,Red,17-17-17
10,18,12,31.62,57.88,Oil seeds,42.77,Clayey,14-35-14
8,12,13,25.93,54.07,Maize,23.84,Loamy,14-35-14
11,12,1,26.47,55.37,Maize,59.34,Sandy,20-20
18,42,0,21.92,53,Barley,33.57,Black,17-17-17
4,10,0,24.35,58.11,Oil seeds,34.04,Clayey,28-28
9,10,4,29.55,45.99,Sugarcane,50.06,Red,10-26-26
33,2,0,28.29,60.24,Pulses,33.44,Black,DAP
11,41,2,31.31,73.26,Pulses,70,Loamy,14-35-14
43,0,0,30.05,58.21,Cotton,23.31,Loamy,17-17-17
21,24,4,31.27,62.18,Paddy,32.06,Sandy,14-35-14
10,32,1,32.51,61.45,Ground Nuts,70,Loamy,Urea
14,13,11,23.98,44.94,Oil seeds,20,Sandy,28-28
39,2,1,30.28,69.29,Tobacco,53.16,Sandy,10-26-26
10,18,9,28.02,54.85,Sugarcane,55.71,Sandy,20-20
37,1,0,28.66,56.26,Sugarcane,39.29,Black,DAP
22,26,0,30.85,70.39,Millets,29.35,Black,10-26-26
13,5,4,24.51,62.55,Pulses,65.83,Loamy,Urea
18,23,4,22.33,56.84,Ground Nuts,29.98,Black,14-35-14
42,4,1,29.75,55.39,Tobacco,28.42,Sandy,14-35-14
41,2,0,28.27,52.86,Ground Nuts,22.36,Clayey,10-26-26
17,12,0,33.27,67.2,Paddy,40.49,Loamy,10-26-26
10,32,0,38.53,70.2,Millets,28.94,Loamy,17-17-17
8,31,14,25.2,60.02,Oil seeds,69.92,Sandy,20-20
38,2,0,23.66,55.66,Wheat,31.32,Red,20-20
9,16,0,35.01,71.58,Wheat,39.2,Black,14-35-14
12,31,2,36.92,69.78,Maize,32.64,Clayey,14-35-14
18,19,0,23.74,47.23,Tobacco,43.64,Red,10-26-26
6,11,0,30.51,48.99,Tobacco,28.68,Black,14-35-14
0,19,16,27.02,68.83,Tobacco,33.05,Black,Urea
6,13,2,27.77,42.89,Barley,59.1,Red,Urea
3,30,12,39.65,63.55,Cotton,47.33,Red,Urea
15,45,4,37.27,64.08,Barley,36.28,Red,20-20
7,6,0,27.93,64.17,Pulses,62.13,Black,20-20
37,0,0,29.95,61.75,Sugarcane,36.58,Black,28-28
26,21,0,24.97,59.24,Paddy,47.46,Sandy,20-20
18,36,0,27.68,61.68,Paddy,59.47,Clayey,17-17-17
2,12,20,23.82,47.74,Cotton,30.62,Black,17-17-17
38,0,0,34.57,69.61,Pulses,57.23,Clayey,DAP
16,44,0,35.1,70.14,Pulses,56.12,Loamy,20-20
16,38,0,33.71,59.42,Barley,29.32,Black,14-35-14
23,23,0,24.75,45.31,Cotton,49.7,Clayey,10-26-26
3,31,12,37.36,59.64,Millets,53.7,Loamy,10-26-26
35,2,0,32.22,56.29,Maize,48.76,Black,10-26-26
31,0,3,32.35,48.81,Paddy,46.33,Loamy,20-20
42,0,0,40,80,Cotton,59.99,Clayey,10-26-26
33,0,3,25.85,62.32,Cotton,48.82,Red,DAP
8,18,22,30.61,66.36,Barley,42.09,Red,DAP
5,26,6,34.51,54.79,Maize,54.12,Loamy,28-28
35,2,3,29.66,43.74,Paddy,43.31,Red,20-20
16,15,0,31.75,46.82,Maize,37.35,Red,DAP
20,17,0,25.43,68.65,Oil seeds,39.28,Red,10-26-26
10,13,21,30.97,58.53,Wheat,29.79,Loamy,17-17-17
10,9,12,28.58,71.66,Oil seeds,46.04,Red,10-26-26
15,10,16,29.87,63.64,Wheat,61.4,Black,20-20
19,21,0,25.09,54.56,Maize,34.08,Red,28-28
35,0,2,29.76,45.13,Cotton,30.91,Red,DAP
35,0,3,31.38,69.36,Tobacco,35.4,Black,Urea
37,0,0,36.7,70.28,Ground Nuts,23.31,Sandy,10-26-26
18,45,0,26.91,44.27,Barley,23.76,Loamy,10-26-26
7,5,0,30.83,53.08,Oil seeds,47.02,Black,DAP
37,0,4,31.98,55.89,Barley,57.6,Red,17-17-17
23,25,1,30.46,48.84,Paddy,33.31,Red,14-35-14
14,32,9,29.24,54.29,Paddy,47.85,Clayey,Urea
12,34,0,31.38,67.84,Maize,59.74,Loamy,10-26-26
41,1,0,29.08,54.19,Maize,61.72,Clayey,14-35-14
12,23,10,40,60.8,Cotton,50.41,Black,10-26-26
19,15,15,23.18,53.55,Ground Nuts,20,Black,17-17-17
40,0,4,32.61,54.79,Barley,70,Black,Urea
9,37,0,36.12,72.17,Paddy,33.4,Sandy,Urea
40,0,3,23.88,57.05,Barley,35.25,Loamy,20-20
14,12,0,30.78,64.7,Pulses,35.01,Clayey,10-26-26
10,27,8,36.46,65.08,Paddy,43.87,Red,10-26-26
7,45,4,40,77.61,Sugarcane,29.53,Loamy,10-26-26
42,0,0,32,57.73,Wheat,35.48,Black,10-26-26
4,26,10,32.69,69.21,Sugarcane,22.19,Black,20-20
14,11,0,29.63,45.37,Sugarcane,21.76,Black,28-28
25,19,0,34.22,56.39,Pulses,49.89,Red,14-35-14
7,34,11,36.56,76.26,Wheat,36.26,Sandy,10-26-26
35,0,1,37,62.94,Pulses,55.83,Loamy,20-20
36,3,3,37.66,74.6,Millets,28.6,Black,DAP
14,37,2,36.42,75.12,Ground Nuts,46.56,Sandy,DAP
8,32,9,29.92,50.41,Ground Nuts,62.32,Clayey,10-26-26
8,38,0,31.96,49.13,Maize,52.38,Loamy,10-26-26
10,43,0,38.65,62.79,Cotton,58.95,Black,20-20
35,1,0,24.94,50.42,Tobacco,55.75,Red,14-35-14
25,22,4,26.11,52.09,Pulses,44.94,Black,Urea
3,31,4,39.68,75.02,Barley,51.69,Clayey,14-35-14
12,39,0,32.74,64.14,Millets,68.56,Red,10-26-26
14,36,1,25.3,50.31,Tobacco,45.77,Loamy,14-35-14
4,26,9,29.37,61.61,Oil seeds,33,Loamy,10-26-26
11,36,0,35.12,61.28,Sugarcane,35.3,Red,Urea
36,0,0,31.57,46.3,Tobacco,28.05,Red,14-35-14
9,38,4,38,61.23,Wheat,26.32,Black,17-17-17
38,0,0,36.29,71,Barley,56.12,Black,DAP
13,38,0,32.76,61.99,Pulses,68.62,Black,DAP
41,1,3,33.01,61.9,Wheat,32.87,Sandy,28-28
28,27,0,27.09,64.13,Paddy,38,Black,28-28
11,9,0,30.15,68.23,Wheat,37.36,Sandy,28-28
12,31,0,31.12,54.41,Oil seeds,55.18,Clayey,DAP
38,0,3,31.08,61.81,Wheat,34.73,Red,DAP
1,13,17,34.99,65.23,Maize,27.62,Clayey,10-26-26
3,16,12,28.29,46.16,Millets,41.47,Black,20-20
10,42,2,37.61,61.11,Barley,36.72,Loamy,Urea
21,22,0,36.02,69.03,Barley,54.45,Sandy,20-20
21,22,0,28.58,41.09,Tobacco,30.84,Red,17-17-17
16,39,0,24.6,52.29,Tobacco,30.92,Black,DAP
13,6,4,29.87,56.39,Cotton,37.84,Sandy,10-26-26
27,20,0,29.85,47.2,Millets,57.02,Sandy,10-26-26
5,36,10,26.12,63.44,Millets,63.43,Loamy,DAP
5,5,3,34.94,57.44,Wheat,52.37,Sandy,DAP
16,36,4,31.59,63.18,Paddy,56.9,Black,10-26-26
11,42,0,37.33,67.17,Maize,37.59,Loamy,10-26-26
37,2,1,24.02,45.09,Tobacco,67.89,Loamy,14-35-14
43,2,2,33.56,66.29,Wheat,26.04,Clayey,14-35-14
25,22,0,30.78,50.3,Barley,52.95,Clayey,20-20
10,26,7,32.39,66.19,Ground Nuts,63.37,Clayey,10-26-26
23,22,2,31.26,67.75,Barley,26.57,Black,Urea
9,32,8,38.04,69.01,Ground Nuts,42.8,Red,10-26-26
12,44,1,32.73,62.66,Paddy,34.5,Red,17-17-17
37,4,0,27.79,60.14,Paddy,41.16,Clayey,10-26-26
44,0,0,32.24,55.75,Pulses,45.85,Black,20-20
12,42,0,31.18,60.59,Pulses,20.77,Black,28-28
12,32,7,34.04,65.18,Ground Nuts,55.33,Black,28-28
11,31,14,28.92,49.12,Pulses,20,Black,17-17-17
8,21,20,36.08,74.86,Wheat,38.71,Red,10-26-26
14,36,3,32.57,62.47,Millets,37.05,Sandy,Urea
38,4,0,32.53,51.27,Ground Nuts,44.71,Sandy,14-35-14
26,25,0,25.19,60.71,Paddy,52.06,Red,14-35-14
36,4,0,28.66,47.45,Wheat,44.04,Loamy,20-20
9,12,14,24.59,58.22,Paddy,64.12,Sandy,10-26-26
8,37,0,25.71,59.93,Tobacco,51.81,Clayey,17-17-17
10,12,0,28.24,54.62,Wheat,35.02,Clayey,DAP
18,17,3,33.95,61,Maize,45.29,Clayey,17-17-17
11,27,4,33.88,59.02,Sugarcane,35.32,Clayey,DAP
2,32,9,30.87,58.93,Oil seeds,70,Clayey,28-28
36,4,0,33.25,69.66,Maize,51.62,Sandy,Urea
4,15,0,30.25,72.59,Pulses,57.4,Black,28-28
7,42,3,31.59,67.65,Oil seeds,56.8,Sandy,Urea
41,4,0,37.68,62.61,Ground Nuts,54.72,Black,Urea
19,33,0,30.23,70.15,Oil seeds,26.2,Red,17-17-17
24,16,0,30.29,58.63,Ground Nuts,51.24,Loamy,17-17-17
8,40,0,27.47,53.06,Paddy,40,Red,28-28
19,15,0,29.05,52,Cotton,53.16,Black,28-28
2,19,16,22.27,58.06,Tobacco,38.54,Black,28-28
36,2,0,26.4,57.87,Cotton,57.72,Sandy,14-35-14
13,26,10,24.38,52.09,Sugarcane,25.67,Loamy,28-28
5,29,14,33.24,51.28,Pulses,65.32,Black,Urea
9,10,0,27.41,52.54,Barley,41.48,Black,Urea
12,34,0,32.64,77.53,Maize,39.18,Clayey,20-20
18,29,0,27.61,71.93,Barley,41.84,Red,17-17-17
10,17,0,36.71,76.2,Barley,24.17,Sandy,14-35-14
14,38,2,31.72,71.9,Oil seeds,41.1,Clayey,20-20
1,17,14,38.33,70.83,Cotton,45.85,Loamy,Urea
10,40,0,31.36,44.29,Pulses,43.74,Sandy,17-17-17
23,26,0,31.97,57.04,Maize,39.26,Loamy,10-26-26
15,41,0,30.86,66.38,Sugarcane,42.56,Clayey,14-35-14
12,37,0,29.81,63.42,Millets,20,Loamy,10-26-26
34,1,2,30.18,68.42,Barley,36.95,Clayey,17-17-17
41,4,0,25.23,62.86,Cotton,38.43,Red,20-20
4,28,9,37.04,68.38,Maize,51.4,Red,28-28
24,17,0,26.14,52.36,Paddy,40.32,Clayey,14-35-14
5,31,10,25.71,49.13,Sugarcane,33.26,Sandy,14-35-14
39,4,1,30.12,69.25,Paddy,21.43,Loamy,28-28
21,23,2,27.34,63.01,Cotton,48.83,Black,10-26-26
40,0,0,30.29,69.44,Pulses,58.64,Clayey,14-35-14
34,0,4,33.67,68.27,Millets,57.75,Clayey,DAP
7,16,14,34.7,66.76,Sugarcane,69.2,Loamy,20-20
9,8,11,34.38,60.73,Oil seeds,50.97,Red,DAP
9,13,3,33.48,62.18,Wheat,48.6,Black,20-20
13,30,10,33.6,60.98,Tobacco,68.08,Clayey,14-35-14
6,40,4,31.74,62.32,Sugarcane,52.3,Loamy,Urea
18,27,4,27.11,49.05,Oil seeds,43.91,Black,20-20
44,0,0,29.56,70.11,Wheat,44.74,Sandy,20-20
18,33,0,33.71,58.93,Barley,43.88,Loamy,DAP
15,7,1,21.93,44.5,Maize,63.49,Red,14-35-14
12,40,1,33.53,60.05,Maize,37.18,Red,20-20
17,40,0,25.31,51.61,Ground Nuts,33.05,Red,DAP
18,42,0,31.78,65.4,Ground Nuts,52.23,Sandy,10-26-26
39,0,1,34.68,58.89,Pulses,27.43,Sandy,28-28
11,42,0,39.75,60.73,Millets,38.94,Clayey,17-17-17
8,19,0,22.69,51.37,Oil seeds,61.27,Sandy,Urea
2,12,19,24.06,40.2,Wheat,34.24,Black,10-26-26
36,3,0,38.25,74.83,Sugarcane,48.66,Clayey,17-17-17
36,0,0,40,64.51,Millets,51.07,Red,28-28
12,30,3,35.73,71.25,Millets,45.65,Clayey,20-20
40,2,0,31.33,52.44,Maize,48.45,Black,DAP
9,16,17,32.64,71.49,Maize,45.45,Black,14-35-14
19,18,0,24.83,51.23,Millets,46.97,Red,28-28
18,39,0,30.57,73.76,Oil seeds,66.01,Loamy,17-17-17
36,3,0,27.61,52.18,Tobacco,38.91,Black,20-20
9,32,9,25.3,51.45,Barley,24.59,Sandy,17-17-17
14,34,0,31.71,58.44,Pulses,35.47,Loamy,Urea
6,13,12,25.28,55.82,Barley,32.12,Clayey,10-26-26
38,0,0,29.97,58.25,Sugarcane,31.86,Loamy,28-28
8,38,0,32.38,58.5,Wheat,45.02,Red,20-20
26,17,0,30.69,59.44,Sugarcane,51.07,Sandy,10-26-26
37,4,0,33.71,71.14,Millets,43.81,Clayey,17-17-17
17,41,3,26.91,52.52,Cotton,30.81,Black,28-28
20,22,0,29.32,51.48,Tobacco,40.11,Red,Urea
9,12,4,25.99,55.37,Wheat,65.56,Sandy,28-28
